"","Group","Species","Longitude","Latitude"
"107","Birds","Lathrotriccus euleri",-43.066666,-19.7
"108","Birds","Leptopogon amaurocephalus",-43.066666,-19.7
"109","Birds","Basileuterus culicivorus",-43.066666,-19.7
"110","Birds","Mionectes rufiventris",-43.066666,-19.7
"111","Birds","Saltator similis",-42.933333,-19.133333
"112","Birds","Tachyphonus coronatus",-42.933333,-19.133333
"113","Birds","Thamnophilus caerulescens",-42.933333,-19.133333
"114","Birds","Tolmomyias sulphurescens",-42.933333,-19.133333
"115","Birds","Trichothraupis melanops",-42.933333,-19.133333
"116","Birds","Turdus leucomelas",-42.933333,-19.133333
"117","Birds","Turdus rufiventris",-42.933333,-19.133333
"118","Birds","Chiroxiphia caudata",-42.933333,-19.133333
"119","Birds","Manacus manacus",-42.933333,-19.133333
"120","Birds","Ilicura militaris",-42.933333,-19.133333
"121","Birds","Lathrotriccus euleri",-42.933333,-19.133333
"122","Birds","Leptopogon amaurocephalus",-42.933333,-19.133333
"123","Birds","Basileuterus culicivorus",-42.933333,-19.133333
"124","Birds","Mionectes rufiventris",-42.933333,-19.133333
"125","Birds","Turdus leucomelas",-41.816666,-19.733333
"126","Birds","Turdus rufiventris",-41.816666,-19.733333
"127","Birds","Lathrotriccus euleri",-41.816666,-19.733333
"128","Birds","Leptopogon amaurocephalus",-41.816666,-19.733333
"129","Birds","Manacus manacus",-41.816666,-19.733333
"130","Birds","Trichothraupis melanops",-42.55,-19.7
"131","Birds","Turdus leucomelas",-42.55,-19.7
"132","Birds","Turdus rufiventris",-42.55,-19.7
"133","Birds","Leptopogon amaurocephalus",-42.55,-19.7
"134","Birds","Manacus manacus",-42.55,-19.7
"135","Birds","Pachyramphus polychopterus",-48.4,-22.8
"136","Birds","Pipraeidea melanonota",-48.4,-22.8
"137","Birds","Pitangus sulphuratus",-48.4,-22.8
"138","Birds","Saltator fuliginosus",-48.4,-22.8
"139","Birds","Camptostoma obsoletum",-48.4,-22.8
"140","Birds","Tachyphonus coronatus",-48.4,-22.8
"141","Birds","Thamnophilus caerulescens",-48.4,-22.8
"142","Birds","Tolmomyias sulphurescens",-48.4,-22.8
"143","Birds","Trichothraupis melanops",-48.4,-22.8
"144","Birds","Turdus albicollis",-48.4,-22.8
"145","Birds","Turdus amaurochalinus",-48.4,-22.8
"146","Birds","Turdus leucomelas",-48.4,-22.8
"147","Birds","Turdus rufiventris",-48.4,-22.8
"148","Birds","Volatinia jacarina",-48.4,-22.8
"149","Birds","Chiroxiphia caudata",-48.4,-22.8
"150","Birds","Cnemotriccus fuscatus",-48.4,-22.8
"151","Birds","Coereba flaveola",-48.4,-22.8
"152","Birds","Conirostrum speciosum",-48.4,-22.8
"153","Birds","Columbina talpacoti",-48.4,-22.8
"154","Birds","Leptotila rufaxilla",-48.4,-22.8
"155","Birds","Leptotila verreauxi",-48.4,-22.8
"156","Birds","Piaya cayana",-48.4,-22.8
"157","Birds","Crotophaga ani",-48.4,-22.8
"158","Birds","Colaptes campestris",-48.4,-22.8
"159","Birds","Colaptes melanochloros",-48.4,-22.8
"160","Birds","Tyrannus melancholicus",-48.4,-22.8
"161","Birds","Elaenia flavogaster",-48.4,-22.8
"162","Birds","Serpophaga subcristata",-48.4,-22.8
"163","Birds","Myiophobus fasciatus",-48.4,-22.8
"164","Birds","Satrapa icterophrys",-48.4,-22.8
"165","Birds","Myiarchus tyrannulus",-48.4,-22.8
"166","Birds","Myiodynastes maculatus",-48.4,-22.8
"167","Birds","Empidonomus varius",-48.4,-22.8
"168","Birds","Mimus saturninus",-48.4,-22.8
