"","Group","Species","Longitude","Latitude"
"1","Primates","Brachyteles arachnoides",-40.55,-19.866667
"2","Primates","Brachyteles arachnoides",-48.27359,-24.308775
"3","Primates","Brachyteles arachnoides",-55.78729,-20.467005
"4","Large birds","Cacicus haemorrhous",-48.406944,-24.265278
"5","Small birds","Crotophaga ani",-43.683333,-22.766667
"6","Small birds","Sicalis flaveola",-43.683333,-22.766667
"7","Small birds","Elaenia flavogaster",-43.683333,-22.766667
"8","Small birds","Guira guira",-43.683333,-22.766667
"9","Small birds","Myiodynastes maculatus",-43.683333,-22.766667
"10","Small birds","Tyrannus melancholicus",-43.683333,-22.766667
"11","Small birds","Thraupis palmarum",-43.683333,-22.766667
"12","Large birds","Patagioenas picazuro",-43.683333,-22.766667
"13","Small birds","Chrysomus ruficapillus",-43.683333,-22.766667
"14","Small birds","Thraupis episcopus",-43.683333,-22.766667
"15","Small birds","Pitangus sulphuratus",-43.683333,-22.766667
"16","Small birds","Dacnis cayana",-44.077013,-21.052854
"17","Small birds","Turdus amaurochalinus",-44.253062,-21.13158
"18","Small birds","Pitangus sulphuratus",-44.451335,-22.470966
"19","Small birds","Thraupis episcopus",-44.077013,-21.052854
"20","Small birds","Thraupis palmarum",-47.507167,-23.963247
"21","Small birds","Turdus amaurochalinus",-47.5923,-22.4833
"22","Small birds","Ramphocelus carbo",-47.5923,-22.4833
"23","Small birds","Dacnis cayana",-47.5923,-22.4833
"24","Small birds","Tangara cayana",-47.5923,-22.4833
"25","Small birds","Tachyphonus coronatus",-47.5923,-22.4833
"26","Small birds","Coereba flaveola",-47.5923,-22.4833
"27","Small birds","Elaenia flavogaster",-47.5923,-22.4833
"28","Small birds","Tyrannus melancholicus",-47.5923,-22.4833
"29","Small birds","Thraupis sayaca",-47.5923,-22.4833
"30","Small birds","Myiozetetes similis",-47.5923,-22.4833
"31","Small birds","Thlypopsis sordida",-47.5923,-22.4833
"32","Small birds","Elaenia",-47.5923,-22.4833
"33","Small birds","Conirostrum speciosum",-47.5923,-22.4833
